grupadwa
64.4
33.3
34.5
40.1
31
58.1
60
100
12
30.9
32.3
82.4
15.5
80.5
74.7
50.1
73.7
61.2
43.6
49.3
38.2
23.1
35.8
20.1
69.2
30.1
41.3
83.4
79.7
28.3
59.6
56.5
34.9
