grupajeden;
62.5;
58;
11.2;
88.2;
69;
70.8;
28.9;
67.4;
89.7;
48.7;
54.2;
52.7;
68.1;
84;
40.1;
93.4;
2;
78.1;
62.4;
68;
74.6;
97.3;
68.6;
88.8;
80.4;
18.8;
100;
31.7;
72.3;
68.8;
60.5;
55.5;
44.5;
45.7;
68.4;
